ID;Strecke;Netz;Kategorie;Specialcase;Uumzuleitenden Züge;Verspätungen = / > 5 Minuten;Zugausfälle;Zugvorplanfahrten;gesamte Veränderungen;abweichende / ausfallende Verkehrshalte;Zugbezogende Reglungen; örtliche Leistungen;KiGBAU;Maßnahmenart;Dauer in Tagen;Minuten
31105;131;Netz Mitte;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;29;21
31106;131;Netz Mitte;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;8;16
31107;131;Netz Mitte;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31108;131;Netz Mitte;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;29;21
31109;131;Netz Mitte;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31110;131;Netz Mitte;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;29;21
31111;131;Netz Mitte;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31112;131;Netz Mitte;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;1;21
31201;134;Netz Nord;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31202;134;Netz Nord;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31203;134;Netz Nord;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31204;134;Netz Nord;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31205;134;Netz Nord;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;29;21
31206;134;Netz Nord;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;8;21
31207;134;Netz Nord;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31208;134;Netz Nord;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;29;21
31209;134;Netz Nord;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31210;134;Netz Nord;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;29;21
31211;134;Netz Nord;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31212;134;Netz Nord;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;1;21
31301;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;15;21
31301;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;15;6
31302;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31303;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;16
31304;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;16
31305;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;29;16
31306;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31307;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31308;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;29;21
31309;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;21
31310;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;29;16
31311;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;22;16
31312;130;Netz West;Jahres-Fpl.;2;0;0;0;0;0;0;0;0;0;J-SEV;1;16
80289;131;Netz Mitte;K1;1;0;0;2;0;2;0;0;1;1;Bapsi;1;132
88639;131;Netz Mitte;K1;1;0;0;2;0;2;0;0;1;1;Bapsi;1;197
99005;145B;Netz Ost;Ad-hoc, K1;1;0;0;0;0;0;0;0;0;1;TP;2;49
99005;145B;Netz Ost;Ad-hoc, K1;1;0;0;0;0;0;0;0;0;0;TP;3;45
99005;145B;Netz Ost;Ad-hoc, K1;1;0;0;0;0;0;0;0;0;0;TP;3;35
99005;145B;Netz Ost;Ad-hoc, K1;1;0;0;0;0;0;0;0;0;0;TP;3;35
99007;145B;Netz Ost;Ad-hoc, K1;1;0;0;4;0;4;0;0;2;1;BNV;2;171
99007;145B;Netz Ost;Ad-hoc, K1;1;0;0;0;0;0;0;0;0;0;BNV;2;43
99008;146;Netz Nord;Ad-hoc, K5;1;0;0;0;0;0;0;0;0;1;TP;16;220
99009;146;Netz Nord;Ad-hoc, K10;1;0;0;269;0;269;0;0;134,5;1;BNV;7;322
99009;146;Netz Nord;Ad-hoc, K1;1;0;0;0;0;0;0;0;0;0;BNV;10;6
99009;146;Netz Nord;Ad-hoc, K10;1;0;0;78;0;78;0;0;39;0;BNV;3;312
99010;145A;Netz Ost;Ad-hoc, K1;1;0;0;6;0;6;0;0;3;1;TP;3;191
99012;145B;Netz Ost;Ad-hoc, K1;1;0;0;6;0;6;0;0;3;0;TP;4;180
99013;146;Netz Nord;Ad-hoc, K10;1;0;0;427;0;427;0;0;213,5;1;BNV;12;332
99013;146;Netz Nord;Ad-hoc, K1;1;0;0;0;0;0;0;0;0;0;BNV;12;5
